dong_xe,gia,hop_so,kieu_dang,km_da_di,mau_xe,nhien_lieu,so_cho_ngoi,so_cua,tinh_trang,xuat_xu
Van/Minivan,Xe	Toyota Hiace	2002	- 59 Triệu,Số tay,,"150,000 Km",Xanh,Xăng,3 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	VinFast Lux A 2.0	Tiêu chuẩn	2022	- 882 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Lexus NX	300	2019	- 2 Tỷ 450 Triệu,Số tự động,,"45,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Highlander	SE 2.7	2011	- 799 Triệu,Số tự động,,"80,000 Km",Cát,Xăng	2.7 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz C class	C200	2017	- 1 Tỷ 115 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E200 Exclusive	2022	- 2 Tỷ 555 Triệu,Số tự động,,30 Km,Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Porsche Panamera	3.0 V6	2019	- 5 Tỷ 899 Triệu,Số tự động,,"26,000 Km",Trắng,Xăng	3.0 L,4 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Fortuner	2.7V 4x2 AT	2015	- 585 Triệu,Số tự động,,"96,000 Km",Xám,Xăng	2.7 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Toyota Corolla Cross	1.8V	2022	- 846 Triệu,Số tự động,,0 Km,Xanh,Xăng	1.8 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Jeep Wrangler	Rubicon 2.0 4x4 AT	2021	- 3 Tỷ 390 Triệu,Số tự động,,"11,678 Km",Đỏ,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Land Cruiser	VX 4.6 V8	2013	- 2 Tỷ 410 Triệu,Số tự động,,"120,000 Km",Đen,Xăng	4.6 L,8 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
