dong_xe,gia,hop_so,kieu_dang,km_da_di,mau_xe,nhien_lieu,so_cho_ngoi,so_cua,tinh_trang,xuat_xu
SUV,Xe	LandRover Range Rover	HSE 3.0	2016	- 3 Tỷ 950 Triệu,Số tự động,,"63,000 Km",Đen,Xăng	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Ford Everest	Titanium 2.0L 4x2 AT	2021	- 1 Tỷ 189 Triệu,Số tự động,,"26,000 Km",Trắng,Dầu	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	LandRover Range Rover Sport	Autobiography 5.0 V8	2013	- 2 Tỷ 880 Triệu,Số tự động,,"78,000 Km",Đen,Xăng	5.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Truck,Xe	Isuzu QKR	270	2021	- 490 Triệu,Số tay,,0 Km,Trắng,Dầu,3 chỗ,2 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Chrysler 300C	2.7 Limited	2009	- 530 Triệu,Số tự động,,"87,000 Km",Kem,Xăng	2.7 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz E class	E200 Edition	2015	- 940 Triệu,Số tự động,,"80,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz C class	C180 AMG	2022	- 1 Tỷ 499 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Toyota Fortuner	2.7V 4x2 AT	2014	- 530 Triệu,Số tự động,,"80,000 Km",Đen,Xăng	2.7 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Toyota Raize	G 1.0 CVT	2022	- 535 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.0 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mercedes Benz E class	E180	2021	- 1 Tỷ 990 Triệu,Số tự động,,30 Km,Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E200	2015	- 880 Triệu,Số tự động,,"47,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E250	2009	- 455 Triệu,Số tự động,,"120,000 Km",Nâu,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Kia K5	Premium 2.0 AT	2022	- 929 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Mitsubishi Pajero Sport	2.4D 4x4 AT	2022	- 1 Tỷ 204 Triệu,Số tự động,,0 Km,Nâu,Dầu	2.4 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mercedes Benz C class	C300 AMG	2019	- 1 Tỷ 669 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mercedes Benz GLC	200	2019	- 1 Tỷ 555 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Audi Q5	2.0 AT	2017	- 1 Tỷ 799 Triệu,Số tự động,,0 Km,Đen,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mazda CX5	Signature Premium 2.5 AT 2WD I-Activ	2022	- 999 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.5 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Hatchback,Xe	Hyundai i10	1.2 AT	2022	- 435 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.25 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Lexus NX	200t	2015	- 1 Tỷ 645 Triệu,Số tự động,,"70,000 Km",Xám,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Nissan Navara	EL Premium R	2019	- 635 Triệu,Số tự động,,"58,000 Km",Cam,Dầu	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Honda CRV	L	2022	- 1 Tỷ 83 Triệu,Số tự động,,0 Km,Ghi,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Toyota Vios	E CVT	2021	- 538 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mazda 6	2.0L Premium	2017	- 695 Triệu,Số tự động,,"45,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mitsubishi Jolie	SS	2005	- 158 Triệu,Số tay,,0 Km,Vàng,Xăng	2.0 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Daewoo Matiz	SE 0.8 MT	2007	- 65 Triệu,Số tay,,"10,000 Km",Trắng,Xăng	0.8 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Honda CRV	L	2020	- 1 Tỷ 18 Triệu,Số tự động,,"15,000 Km",Đỏ,Xăng	1.5 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	LandRover Range Rover	Vogue 5.0	2013	- 3 Tỷ 790 Triệu,Số tự động,,"60,000 Km",Đen,Xăng	5.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz C class	C250 Exclusive	2015	- 960 Triệu,Số tự động,,"63,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Lexus ES	250	2019	- 2 Tỷ 340 Triệu,Số tự động,,"18,000 Km",Vàng,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Lexus RX	350	2018	- 3 Tỷ 750 Triệu,Số tự động,,"39,000 Km",Đen,Xăng	3.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	Kia Morning	AT	2020	- 355 Triệu,Số tự động,,"8,000 Km",Trắng,Xăng	1.25 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mitsubishi Attrage	1.2 CVT	2021	- 460 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.2 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mitsubishi Pajero	3.0 4x4 MT	2013	- 485 Triệu,Số tay,,"60,000 Km",Bạc,Xăng	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Vios	E 1.5 MT	2022	- 478 Triệu,Số tay,,0 Km,Cát,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Mazda 6	2.0L Premium	2018	- 715 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz C class	C300 AMG	2017	- 1 Tỷ 370 Triệu,Số tự động,,"30,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E300 AMG	2016	- 1 Tỷ 789 Triệu,Số tự động,,"60,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Honda CRV	2.0 AT	2015	- 659 Triệu,Số tự động,,"110,000 Km",Bạc,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Kia Morning	MT	2019	- 268 Triệu,Số tay,,0 Km,Trắng,Xăng	1.25 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Hyundai i20	1.4 AT	2011	- 285 Triệu,Số tự động,,"60,000 Km",Đỏ,Xăng	1.4 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Toyota Innova	2.0E	2014	- 395 Triệu,Số tay,,"50,000 Km",Vàng,Xăng	2.0 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Honda HRV	L	2020	- 765 Triệu,Số tự động,,"13,000 Km",Trắng,Xăng	1.8 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	Wildtrak 2.0L 4x4 AT	2022	- 937 Triệu,Số tự động,,0 Km,Đen,Dầu	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Honda City	1.5TOP	2020	- 550 Triệu,Số tự động,,"32,000 Km",Đen,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Camry	2.5Q	2013	- 698 Triệu,Số tự động,,"80,000 Km",Đen,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Kia Sorento	Signature 2.2 AT AWD	2022	- 1 Tỷ 252 Triệu,Số tự động,,0 Km,Xám,Dầu	2.2 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Toyota Camry	3.0V	2003	- 230 Triệu,Số tự động,,"13,000 Km",Đen,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mitsubishi Xpander	Premium	2022	- 619 Triệu,Số tự động,,0 Km,Trắng,Xăng,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mercedes Benz GLC	250 4Matic	2016	- 1 Tỷ 320 Triệu,Số tự động,,"50,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	MG HS	Sport 1.5 AT 2WD	2022	- 685 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Ford Everest	Titanium 2.0L 4x4 AT	2022	- 1 Tỷ 369 Triệu,Số tự động,,0 Km,Đen,Dầu	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Crossover,Xe	Hyundai Kona	2.0 ATH	2020	- 640 Triệu,Số tự động,,"41,000 Km",Đen,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Lexus LS	430	2003	- 420 Triệu,Số tự động,,100 Km,Đen,Xăng	4.3 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Hyundai Tucson	2.0 AT Đặc biệt	2022	- 925 Triệu,Số tự động,,0 Km,Đen,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Lexus GS	350	2007	- 639 Triệu,Số tự động,,"85,000 Km",Đen,Xăng	3.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Hyundai SantaFe	2.7L 4WD	2008	- 300 Triệu,Số tự động,,"258,678 Km",Vàng,Xăng	2.7 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Vios	E 1.5 MT	2022	- 468 Triệu,Số tay,,0 Km,Cát,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Toyota Corolla Cross	1.8V	2022	- 825 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.8 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Toyota Fortuner	TRD Sportivo 4x2 AT	2016	- 678 Triệu,Số tự động,,"90,000 Km",Trắng,Xăng	2.7 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Nissan Teana	2.0 AT	2009	- 330 Triệu,Số tự động,,"82,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	Ford Fiesta	S 1.0 AT Ecoboost	2017	- 392 Triệu,Số tự động,,"15,000 Km",Trắng,Xăng	1.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz C class	C200 Exclusive	2020	- 1 Tỷ 450 Triệu,Số tự động,,"15,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford Everest	Titanium 2.0L 4x4 AT	2022	- 1 Tỷ 369 Triệu,Số tự động,,0 Km,Đen,Dầu	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2022	- 632 Triệu,Số tự động,,0 Km,Trắng,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Ford Everest	Titanium 2.0L 4x4 AT	2022	- 1 Tỷ 369 Triệu,Số tự động,,0 Km,Đen,Dầu	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Ford Everest	Ambiente 2.0 4x2 MT	2019	- 930 Triệu,Số tay,,"43,000 Km",Cát,Dầu	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Hyundai SantaFe	SLX	2009	- 585 Triệu,Số tự động,,"90,000 Km",Đen,Dầu	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	Raptor 2.0L 4x4 AT	2022	- 1 Tỷ 172 Triệu,Số tự động,,0 Km,Trắng,Dầu	2.0 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
SUV,Xe	Volvo XC90	T6 2.0 AT	2015	- 2 Tỷ 720 Triệu,Số tự động,,"70,000 Km",Xám,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	Wildtrak 2.0L 4x4 AT	2022	- 907 Triệu,Số tự động,,0 Km,Cam,Dầu	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Toyota Land Cruiser	VX 4.6 V8	2016	- 3 Tỷ 580 Triệu,Số tự động,,"72,000 Km",Đen,Xăng	4.6 L,8 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Mitsubishi Triton	4x2 AT Mivec	2022	- 625 Triệu,Số tự động,,0 Km,Trắng,Dầu	2.4 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mercedes Benz E class	E200 Sport	2019	- 1 Tỷ 950 Triệu,Số tự động,,"8,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 AT	2021	- 760 Triệu,Số tự động,,"12,000 Km",Trắng,Dầu	2.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	Ford Focus	Trend 1.5L	2019	- 513 Triệu,Số tự động,,"38,000 Km",Tím,Xăng	1.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mercedes Benz GLA class	GLA 250 4Matic	2015	- 979 Triệu,Số tự động,,80 Km,Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mazda 3	2.0L Signature Luxury	2020	- 720 Triệu,Số tự động,,"22,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Porsche Panamera	3.0 V6	2020	- 6 Tỷ 350 Triệu,Số tự động,,0 Km,Trắng,Xăng	3.0 L,4 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Hyundai Tucson	2.0 AT Tiêu chuẩn	2022	- 825 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Crossover,Xe	Hyundai Creta	Tiêu chuẩn 1.5 AT	2022	- 620 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Hyundai SantaFe	Cao cấp 2.2L HTRAC	2021	- 1 Tỷ 500 Triệu,Số tự động,,"15,200 Km",Trắng,Dầu	2.2 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Camry	2.5Q	2015	- 775 Triệu,Số tự động,,"60,000 Km",Vàng,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Hyundai i10	Grand 1.2 AT	2019	- 378 Triệu,Số tự động,,"45,000 Km",Đỏ,Xăng	1.25 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mitsubishi Xpander	1.5 MT	2019	- 465 Triệu,Số tay,,"35,000 Km",Trắng,Xăng	1.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Fortuner	2.7V 4x2 AT	2012	- 490 Triệu,Số tự động,,"130,000 Km",Bạc,Xăng	2.7 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Lexus NX	300	2020	- 3 Tỷ 200 Triệu,Số tự động,,"30,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mercedes Benz GLC	300 4Matic	2019	- 1 Tỷ 839 Triệu,Số tự động,,"36,000 Km",Đen,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Audi Q7	3.0 AT	2012	- 1 Tỷ 185 Triệu,Số tự động,,"91,000 Km",Trắng,Xăng	3.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	Mazda 3	1.5L Sport Premium	2022	- 789 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Lincoln Navigator	Black Label	2019	- 7 Tỷ 599 Triệu,Số tự động,,"5,000 Km",Đen,Xăng	3.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	Ford Focus	Sport 1.5L	2016	- 520 Triệu,Số tự động,,"60,000 Km",Đỏ,Xăng	1.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E200	2019	- 1 Tỷ 790 Triệu,Số tự động,,"31,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mitsubishi Xpander	1.5 AT	2021	- 578 Triệu,Số tự động,,0 Km,Nâu,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mercedes Benz S class	S400L	2017	- 2 Tỷ 479 Triệu,Số tự động,,"50,000 Km",Xám,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Kia K3	Premium 1.6 AT	2022	- 674 Triệu,Số tự động,,0 Km,Xanh,Xăng	1.6 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Kia Cerato	1.6 AT	2018	- 545 Triệu,Số tự động,,"40,000 Km",Trắng,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz C class	C300 AMG	2015	- 999 Triệu,Số tự động,,"90,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Lexus RX	350 AWD	2009	- 1 Tỷ 130 Triệu,Số tự động,,"80,000 Km",Trắng,Xăng	3.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Kia Seltos	Premium 1.6 AT	2022	- 729 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.6 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Mazda 6	2.0L Premium	2017	- 680 Triệu,Số tự động,,"60,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Vios	E 1.5 MT	2022	- 483 Triệu,Số tay,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Crossover,Xe	Kia Sonet	Premium 1.5 AT	2022	- 624 Triệu,Số tự động,,0 Km,Xám,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Kia K3	Premium 1.6 AT	2022	- 674 Triệu,Số tự động,,0 Km,Đen,Xăng	1.6 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Kia Rondo	DAT	2018	- 625 Triệu,Số tự động,,"50,000 Km",Trắng,Dầu	1.7 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Nissan Navara	EL 2.5 AT 2WD	2019	- 590 Triệu,Số tự động,,"67,000 Km",Nâu,Dầu	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Hyundai SantaFe	2.4L	2011	- 479 Triệu,Số tự động,,"128,000 Km",Bạc,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Ford Escape	XLT 3.0 AT	2005	- 148 Triệu,Số tự động,,0 Km,Đen,Xăng	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Hyundai Verna	1.4 MT	2008	- 125 Triệu,Số tay,,"90,000 Km",Bạc,Xăng	1.4 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mercedes Benz GLC	300 4Matic	2022	- 2 Tỷ 499 Triệu,Số tự động,,0 Km,Đen,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	Wildtrak 2.0L 4x2 AT	2019	- 825 Triệu,Số tự động,,"59,000 Km",Cam,Dầu	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	XL 2.2L 4x4 MT	2022	- 628 Triệu,Số tay,,0 Km,Xám,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Toyota Vios	GR-S 1.5 CVT	2022	- 635 Triệu,Số tự động,,0 Km,Đen,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Mitsubishi Pajero	3.5	2004	- 175 Triệu,Số tay,,"121,000 Km",Đen,Xăng	3.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mazda CX5	2.5 AT AWD	2016	- 699 Triệu,Số tự động,,"20,000 Km",Đỏ,Xăng	2.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mitsubishi Jolie	SS	2006	- 145 Triệu,Số tay,,"115,000 Km",Xám,Xăng	2.0 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Nissan Terra	V 2.5 AT 4WD	2019	- 835 Triệu,Số tự động,,"30,000 Km",Trắng,Xăng	2.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	LandRover Range Rover	Vogue 3.0	2014	- 3 Tỷ 880 Triệu,Số tự động,,"30,000 Km",Đen,Xăng	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	BMW X1	xDrive28i	2010	- 425 Triệu,Số tự động,,"110,000 Km",Đen,Xăng	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Hyundai Elantra	2.0 AT	2019	- 575 Triệu,Số tự động,,"38,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Lexus NX	300	2019	- 2 Tỷ 450 Triệu,Số tự động,,"45,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Van/Minivan,Xe	Kia Carnival	Signature 2.2D	2022	- 1 Tỷ 489 Triệu,Số tự động,,0 Km,Trắng,Dầu	2.2 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Lexus ES	350	2014	- 1 Tỷ 570 Triệu,Số tự động,,"55,000 Km",Đen,Xăng	3.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Chevrolet Cruze	LT 1.6L	2018	- 365 Triệu,Số tay,,"50,000 Km",Trắng,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Hyundai Creta	Đặc biệt 1.5 AT	2022	- 670 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Hatchback,Xe	Honda Brio	RS	2021	- 448 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.2 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Honda CRV	L	2021	- 1 Tỷ 86 Triệu,Số tự động,,"8,000 Km",Trắng,Xăng	1.5 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Porsche Cayenne	S E-Hybrid	2011	- 1 Tỷ 430 Triệu,Số tự động,,"58,000 Km",Đen,Hybrid	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mitsubishi Jolie	SS	2003	- 110 Triệu,Số tay,,"120,000 Km",Ghi,Xăng	2.0 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mazda CX5	2.0 Deluxe	2020	- 810 Triệu,Số tự động,,"15,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz C class	C200	2012	- 475 Triệu,Số tự động,,"76,000 Km",Trắng,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Kia Morning	X-Line	2022	- 439 Triệu,Số tự động,,0 Km,Xanh,Xăng	1.25 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Toyota Fortuner	2.7V 4x2 AT	2017	- 870 Triệu,Số tự động,,"35,000 Km",Trắng,Xăng	2.7 L,8 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Vios	G 1.5 CVT	2022	- 541 Triệu,Số tự động,,0 Km,Bạc,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Van/Minivan,Xe	Toyota Previa	2.0 MT	2002	- 360 Triệu,Số tay,,"88,000 Km",Bạc,Dầu	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Lexus GX	460	2013	- 2 Tỷ 650 Triệu,Số tự động,,"72,000 Km",Vàng,Xăng	4.6 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
