id,domain,url,crawled_date,ten,gia_ban,nam_san_xuat,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh,thong_tin_mo_ta
582c2bf5-4c55-4ce2-abe7-473b53d152c5,bonbanh.com,https://bonbanh.com/xe-hyundai-i20-active-1.4-at-2016-4453486,1656780790.22818,xe hyundai i20 active 1.4,459000000.0,2016,nhập khẩu,cũ,crossover,"40,000 km",đỏ,nâu,5 cửa,5 chỗ,xăng,xăng, tự động,fwd,6 l/100km,1.4 l,"Cần bán huyndai i20 active 1.4 AT sản xuất 2016 đăng ký 2017 một chủ tên cá nhân từ đầu,xe giữ gìn nên còn rất mới,đã lắp thêm màn hình androi,bảo dưỡng thay dầu định kỳ từ mới,không một lỗi nhỏ.bao ted kiểm tra bất kỳ đâu do bên mua chỉ định."
4004e1df-4a09-43f7-ac16-2b0151db0ce1,bonbanh.com,https://bonbanh.com/xe-mazda-6-2.0-at-2015-4337870,1656780790.249934,xe mazda 6 2.0,540000000.0,2015,trong nước,cũ,sedan,"7,000 km",trắng,đen,4 cửa,5 chỗ,xăng,, tự động,fwd,8 l/100km,2.0 l,mada6 premium 2.0L XS 15 .16 
6bcc7d7d-ccdc-421a-a00e-f98ed26f204d,bonbanh.com,https://bonbanh.com/xe-audi-q7-3.0-at-2016-4398906,1656780790.46382,xe audi q7 3.0,2379000000.0,2016,nhập khẩu,cũ,suv,"55,000 km",trắng,đen,5 cửa,7 chỗ,xăng,, tự động,awd,l/100km,3.0 l,# # 
fcde5ff0-4b35-450d-92b7-5be07bbee4cd,bonbanh.com,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-4423492,1656780790.623937,xe toyota corolla cross 1.8v,846000000.0,2022,nhập khẩu,mới,suv,0 km,đen,nâu,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1.8 l,-Toyota Cross bản V giao ngay giá tốt
030330f7-66f2-4c39-80ec-8d5493fdc4d7,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-glc--2022-4464592,1656780790.793677,xe mercedes benz glc,2350000000.0,2022,trong nước,cũ,crossover,"30,000 km",trắng,kem,0 cửa,0 chỗ,xăng,kep, tự động,4wd,9 l/100km,,GLC 300 2020 trắng kem 
e5d89813-43c1-4811-8b43-c9d73f180fbc,bonbanh.com,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2018-4464656,1656780791.107428,xe ford ranger xls 2.2l 4x2 mt,598000000.0,2018,nhập khẩu,cũ,bán tải / pickup,"86,000 km",vàng,đen,4 cửa,5 chỗ,dầu,, tay,rfd,8 l/100km,,RANGER XLS MT
46df8f3e-d8ac-4678-8913-691fc4c43f19,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2022-4063655,1656780791.390397,xe mercedes benz glc 200 4matic,2129000000.0,2022,trong nước,mới,suv,0 km,trắng,nâu,5 cửa,5 chỗ,xăng,turbo, tự động,awd,10 l/100km,2.0 l,Mercedes GLC 200 4Matic V1 2022
56801113-634b-495b-bce9-d57cb5fb9401,bonbanh.com,https://bonbanh.com/xe-mitsubishi-triton-athlete-4x4-at-2022-4437105,1656780791.436887,xe mitsubishi triton athlete 4x4,885000000.0,2022,nhập khẩu,mới,bán tải / pickup,0 km,trắng,nhiều màu,4 cửa,5 chỗ,dầu,, tự động,4wd,l/100km,2.4 l,MITSUBISHI TRITON ATHLETE 2 cầu AT 2022
3fb88279-bd14-4401-83dd-b0c2d3f6491e,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2021-4421369,1656780791.456144,xe mercedes benz g class g63 amg,13899000000.0,2021,nhập khẩu,cũ,suv,"9,000 km",đen,đỏ,5 cửa,5 chỗ,xăng,, tự động,awd,l/100km,4.0 l,- 
a2d2114e-dfa4-4966-983b-c51bbeaf3aff,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-e_class-e250-2018-4455594,1656780791.722988,xe mercedes benz e class e250,1788000000.0,2018,trong nước,cũ,sedan,"40,000 km",trắng,đen,4 cửa,5 chỗ,xăng,, tự động,rfd,8 l/100km,2.0 l,Ae 1993 mà chưa có xe đi
