id,url,crawled_date,domain,ten,gia,xuat_xu,tinh_trang,dong_xe,so_cho_ngoi,nhien_lieu,hop_so
36f3c1bc-bfbe-4779-86e9-074a8838e018,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/92803940.htm,2022-06-27 10:09:38.274384,xe.chotot.com,xe đẹp,149.000.000,Việt Nam,Đã sử dụng,Mondeo,,Xăng,Tự động
f390c7a0-154a-4e2e-9249-fecc9ec1c1e9,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/95934098.htm,2022-06-27 10:09:38.604042,xe.chotot.com,NISSAN KICK【SIÊU TIẾT KIỆM】 ĐẶT XE SỚM ƯU ĐÃI TỐT,699.000.000,Thái Lan,Mới,Navara,5,Động cơ Hybrid,Tự động
25c7a90d-294e-4c30-a119-9e3565a2435a,https://xe.chotot.com/mua-ban-oto-quan-thanh-xuan-ha-noi/95799216.htm,2022-06-27 10:09:39.241088,xe.chotot.com,bán vinfast Lux SA premium màu đỏ sx 2019,999.000.000,Việt Nam,Đã sử dụng,Lux,5,Xăng,Tự động
d5e8cf8e-4a9c-4613-8f7b-6d6549a87771,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/96118258.htm,2022-06-27 10:09:39.287114,xe.chotot.com,Bán gấp Wiltrak 2.0Biturbo sx 2019 cực mới,860.000.000,Thái Lan,Đã sử dụng,Ranger,5,Dầu,Tự động
a198e6a4-d1b4-4b45-8957-d4091051a3ef,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/94896523.htm,2022-06-27 10:09:39.318239,xe.chotot.com,BMW X1 MODEM 2019 SIÊU MỚI LÊN NHIỀU ĐỒ CHƠI,1.399.000.000,Đức,Đã sử dụng,X1,5,Xăng,Tự động
eaa90cc3-e99f-42e9-9d87-f833a5cc023d,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/85929562.htm,2022-06-27 10:09:39.381054,xe.chotot.com,【TUCSON ALL NEW】MÁY DẦU CHỐT NÓNG + GIAO NGAY,1.030.000.000,Việt Nam,Mới,Tucson,5,Dầu,Tự động
c3079998-fe3d-4db1-a04a-5cfd38b67b57,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/93469156.htm,2022-06-27 10:09:39.568640,xe.chotot.com,"Ford Everest Titanium 2020, hỗ trợ vay, BH FORD VN",1.155.000.000,Thái Lan,Đã sử dụng,Everest,7,Dầu,Tự động
9c9c9c66-48ec-4fc0-8029-90515152def1,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/93957808.htm,2022-06-27 10:09:40.550953,xe.chotot.com,"Huynhdai genesis 2.0T tubro 2 cửa cực zin,đẹp.",445.000.000,Hàn Quốc,Đã sử dụng,Genesis,5,Xăng,Tự động
de598b19-ccdb-477d-9263-b659cd1f8a56,https://xe.chotot.com/mua-ban-oto-quan-6-tp-ho-chi-minh/95686087.htm,2022-06-27 10:09:40.603501,xe.chotot.com,Mitsubishi Attrage Đưa Trước 130tr Nhận Xe,329.000.000,Thái Lan,Đã sử dụng,Attrage,5,Xăng,Số sàn
a02ee7fc-686e-46e4-918d-ce7b5730d882,https://xe.chotot.com/mua-ban-oto-quan-hai-ba-trung-ha-noi/96277776.htm,2022-06-27 10:09:40.681186,xe.chotot.com,Ford Fiesta 1.5 AT Sport 7 vạn zin biển đẹp,295.000.000,Việt Nam,Đã sử dụng,Fiesta,5,Xăng,Tự động
1223ea8e-2ea9-4971-b62a-54ef0467f0e3,https://xe.chotot.com/mua-ban-oto-quan-hai-ba-trung-ha-noi/95754797.htm,2022-06-27 10:09:40.691188,xe.chotot.com,FORD RANGER XLS 4x2 MT Số Sàn KM Full Phụ Kiện,617.000.000,Việt Nam,Mới,Ranger,5,Dầu,Số sàn
fc6a94b3-a918-491f-a501-10e5169195d7,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/95562724.htm,2022-06-27 10:09:40.974272,xe.chotot.com,💥BMW X5 xDrive Xline 2020 SIÊU LƯỚT,4.039.000.000,,Đã sử dụng,X5,,Xăng,Tự động
af31267c-1fd1-4244-b1ed-2b7e22ceb132,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/96373522.htm,2022-06-27 10:09:42.015077,xe.chotot.com,❤️ Mercedes S450_2020 - Đẳng cấp thương gia ❤️,3.799.000.000,,Đã sử dụng,S Class,5,Xăng,Tự động
7eab3c66-d8ac-432f-a7cd-edb0fda0e76d,https://xe.chotot.com/mua-ban-oto-thanh-pho-thanh-hoa-thanh-hoa/96373541.htm,2022-06-27 10:09:42.265146,xe.chotot.com,Xe moninh,30.500.000,Việt Nam,Đã sử dụng,Morning,5,Xăng,Tự động
62659a2d-fcd6-402d-a595-f701045232c8,https://xe.chotot.com/mua-ban-oto-quan-ha-dong-ha-noi/95902594.htm,2022-06-27 10:09:42.981287,xe.chotot.com,Mazda BT50 bản Luxury 2.2ATH 2018 một chủ từ mới,570.000.000,Thái Lan,Đã sử dụng,BT 50,5,Xăng,Tự động
8d876943-acf9-4684-b244-55a3711fbc56,https://xe.chotot.com/mua-ban-oto-huyen-hoai-duc-ha-noi/96224653.htm,2022-06-27 10:09:43.151207,xe.chotot.com,Bán moning 2008 SLX. số tự động. nhập Hàn 2013,175.000.000,Hàn Quốc,Đã sử dụng,Morning,5,Xăng,Tự động
178f3c51-8abd-405e-a692-178b90633ff2,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/95802714.htm,2022-06-27 10:09:43.279210,xe.chotot.com,FORTUNER XE CỌP TRÙM MỀN CHÍNH CHỦ,450.000.000,,Đã sử dụng,Fortuner,,Xăng,Tự động
3d52ef35-5b88-47cc-8793-d6009b8e59a5,https://xe.chotot.com/mua-ban-oto-thi-xa-tan-uyen-binh-duong/94992961.htm,2022-06-27 10:09:43.440212,xe.chotot.com,Bán chevrolet aveo 2014 1 chủ zin đi đúng 52.000km,220.000.000,Việt Nam,Đã sử dụng,Aveo,5,Xăng,Số sàn
ad732c85-4065-45b6-bb0d-3ea9ff3e9d61,https://xe.chotot.com/mua-ban-oto-huyen-bac-tan-uyen-binh-duong/96337036.htm,2022-06-27 10:09:43.481214,xe.chotot.com,Fortuner máy dầu sx 2010 gia đình Cọp,535.000.000,Nhật Bản,Đã sử dụng,Fortuner,7,Dầu,Số sàn
c1410ef1-1196-4ed6-8cd2-0b22bd39b967,https://xe.chotot.com/mua-ban-oto-quan-10-tp-ho-chi-minh/93775515.htm,2022-06-27 10:09:43.574939,xe.chotot.com,XE NISSAN ALMERA CVT 2022 MỚI - Có xe giao ngay,539.000.000,Thái Lan,Mới,Almera,5,Xăng,Tự động
7d14ad53-fa93-472f-9b97-9daa17c7490c,https://xe.chotot.com/mua-ban-oto-huyen-cu-chi-tp-ho-chi-minh/96275701.htm,2022-06-27 10:09:43.648627,xe.chotot.com,Innova Xe Gia Đình Không Kinh Doanh,333.000.000,,Đã sử dụng,Innova,,Xăng,Số sàn
e941f44f-8c19-4a39-a621-9efae590dc4e,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/96262370.htm,2022-06-27 10:09:43.714973,xe.chotot.com,HILUX 2.4MT4x2 sx 2021 LƯỚT 25000KM SƠN ZIN 100%,739.000.000,Thái Lan,Đã sử dụng,Hilux,5,Dầu,Số sàn
065ab1be-ab4d-4f62-b258-f24d5f0f7e59,https://xe.chotot.com/mua-ban-oto-quan-hoang-mai-ha-noi/96018961.htm,2022-06-27 10:09:43.719973,xe.chotot.com,Vios G sx 2020,515.000.000,Việt Nam,Đã sử dụng,Vios,5,Xăng,Tự động
98afd6f0-e329-44ef-8010-896699353d4f,https://xe.chotot.com/mua-ban-oto-thanh-pho-buon-ma-thuot-dak-lak/95927471.htm,2022-06-27 10:09:43.759985,xe.chotot.com,Ford Ranger 2016 MT rất đẹp,495.000.000,Thái Lan,Đã sử dụng,Ranger,5,Dầu,Số sàn
2e125281-071a-4f22-8b2b-4ddb2534d664,https://xe.chotot.com/mua-ban-oto-quan-binh-thanh-tp-ho-chi-minh/96249913.htm,2022-06-27 10:09:43.774982,xe.chotot.com,Vinfast Lux SA 2.0 - 2019 . Biển Đẹp- Check Hãng,920.000.000,Việt Nam,Đã sử dụng,Lux,5,Xăng,Tự động
e00050de-04db-47e5-ad92-4afdc741e153,https://xe.chotot.com/mua-ban-oto-thanh-pho-bien-hoa-dong-nai/96373118.htm,2022-06-27 10:09:43.838047,xe.chotot.com,Fiat 2001 5 chỗ,49.000.000,Nước khác,Đã sử dụng,Siena,5,Xăng,Số sàn
7cca64ab-c3fa-4ce1-b8a1-ff855f0fb6f1,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/93938170.htm,2022-06-27 10:09:43.892953,xe.chotot.com,Hyundai Kona 2019 bản 1.6 turbo màu đen biển SG,660.000.000,,Đã sử dụng,Kona,5,Xăng,Tự động
c90bb960-7d8a-4de1-98f2-3ae49b4e1737,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/95897551.htm,2022-06-27 10:09:44.071404,xe.chotot.com,"Bán xe Honda City RS 2021 Lướt, Biển TP, Giá tốt",616.000.000,Việt Nam,Đã sử dụng,City,5,Xăng,Tự động
b9ad706c-b735-4b2f-bf65-9d6260b7379f,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-dau-mot-binh-duong/96373127.htm,2022-06-27 10:09:44.228030,xe.chotot.com,Bán xe Vios 1.5E_MT 2019,435.000.000,Việt Nam,Đã sử dụng,Vios,5,Xăng,Số sàn
ed57d6bc-b3e1-4e87-9bb1-27da4ec5e2a0,https://xe.chotot.com/mua-ban-oto-quan-ba-dinh-ha-noi/96006343.htm,2022-06-27 10:09:44.272643,xe.chotot.com,huyndai starex số sàn máy cơ 6 chỗ 800kg xe đẹp,132.000.000,Hàn Quốc,Đã sử dụng,Starex,6,Dầu,Số sàn
